bootstrap	0 0 0 0 0 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 25.9 0 0 0 0 0 0 0 0 0 0 0 0 0.06
affix	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
js	0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0.04 0 0.14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.4 0 0.01 0 0.01 14.37
v3	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0 11.87
http	0 13.78 0 0 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0.14 0.01 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
getbootstrap	0.03 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 2.89 0 1.94 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.09 0 0 0 0.01 0 0.01 0 0 0 0 0
com	0 0 0 0 0 0 0.02 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 26.95
javascript	0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0.01 11.92
copyright	0 0 0 0 0 0 0 0 0 0 0 0 0.32 0 0 0.01 0 0 0 0 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0.01 11.6
twitter	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 11.96 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0
inc	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.99 0 0 0 0 0 0 0 0 0 0 0 0 0
licensed	0 11.95 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
under	0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.89 0 0 0 0 0 0.01 0 0 0 0 0 0 0
mit	0 0 0.01 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0.08 0 0.76 0.01 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 11.04 0 0.02 0 0 0 0 0 0.01 0.03 0 0
https	0 0 0 0.01 0 0 0 0 0 0 0.02 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 12.91 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0.01
github	0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0.03 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 12.9
twbs	0 12.75 0 0 0 0 0 0.18 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0
blob	0 0 0 0.01 0.01 0 0 0 0 0 0.01 0 0 0.01 0 0.01 0 0 1.4 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0.01 0 0 0 0.01 0 0.01 10.49 0 0 0 0 0 0 0.01 0 0 0 0
master	0 0 0.01 0 0 0 0 0 0 0 0 0 0.88 0 0 0 0 0 0 0 0.01 0 0 0 0.03 0 0 0 0.01 0 0 0 0 0 0 0 0.02 0 11.03 0 0 0 0 0 0 0 0 0 0.01 0
license	0.04 11.67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0.01 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0.14 0 0 0.01 0 0 0.03 0 0 0 0 0.05
function	0 156.57 0 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0.05 0.03 0 0 0 0 0 0 0 0 0.01 0.03 0 0 0 0 0 0 0 0.02 0 0 0 38.25 0 0
use	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.02 0 0 0 0 0.01 0 0 0 0 0 0 14.93
strict	0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0 0 0 0.09 0 0 0 0 0.01 11.85
class	0 17.89 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0.01 0 0.01 0 0 0 0
